COD_IMOVEL,NUM_AREA,COD_ESTADO,NOM_MUNICI,NUM_MODULO,TIPO_IMOVE,SITUACAO,CONDICAO_I
PA-1503804-FF74F09387964B5B90D6C95EA4E17E21,65.5425315466,PA,Jacundá,0.9363000000,IRU,AT,Aguardando analise
PA-1503804-0B83324A65FD4BCEAD203FCBD874287C,164.2201081253,PA,Jacundá,2.3460000000,IRU,AT,Aguardando analise
PA-1503804-2799E81D9EBB402FB3DA4F2C672BA8AD,49.4564390812,PA,Jacundá,0.7065000000,IRU,AT,Aguardando analise
PA-1503804-935DF9E6668144588CAE9F5A49B4BEFA,104.9850880825,PA,Jacundá,1.4998000000,IRU,AT,Aguardando analise
PA-1503804-CB40FAC7609D440EB8CE4DA7FCB440D5,531.0438146192,PA,Jacundá,7.5863000000,IRU,AT,Aguardando analise
PA-1503804-C1EED98AF65D4ADA8C008CD29E1F1CD3,443.6608000000,PA,Jacundá,6.3380000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-73A0884FF8FD4A0BADF4E23C3AB06C70,0.4851000000,PA,Jacundá,0.0069000000,IRU,AT,Aguardando análise
PA-1503804-AD72A3CC484C4A3D96BD974F6AFD02AA,84.9590000000,PA,Jacundá,1.2137000000,IRU,AT,Aguardando análise
PA-1503804-5BBA39717C3843458D488758FF2FB9EA,46.6961000000,PA,Jacundá,0.6671000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-8727C1DA6FB640BDA9F0E7449DEDA6BD,50.7494000000,PA,Jacundá,0.7250000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-407FEA9FC3B641C09B47DCDF122AADBB,82.5274000000,PA,Jacundá,1.1790000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-A5037978367A4178804BCA41D6534666,26.1738000000,PA,Jacundá,0.3739000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-BF78E3BC3B24450C8069AFA96B93E192,4.3753000000,PA,Jacundá,0.0625000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-E9CE989ECE3E4D0D8120ED14E4AAD699,149.2829000000,PA,Jacundá,2.1326000000,IRU,AT,Aguardando análise
PA-1503804-42549D486DE747618A1DD86E4E74CA5A,152.7500000000,PA,Jacundá,2.1821000000,IRU,AT,Aguardando análise
PA-1503804-1AE97BBA4F244EE795573BA5FECEBBB3,2091.9298000000,PA,Jacundá,29.8847000000,IRU,AT,Aguardando análise
PA-1503804-127ADD30153F4BC9860BFE8844887B55,375.2638000000,PA,Jacundá,5.3609000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-4806136484524BBD97E470855C7C90BD,86.6151000000,PA,Jacundá,1.2374000000,IRU,AT,Aguardando análise
PA-1503804-793538DC9733404BAE3EFA66BD0F297D,137.8954000000,PA,Jacundá,1.9699000000,IRU,AT,Aguardando análise
PA-1503804-58E8E5BA4C8E457AA410866828F4BAFA,313.3878000000,PA,Jacundá,4.4770000000,IRU,AT,Aguardando análise
PA-1503804-DDC0F5CF0C2947ABBD0C715A94F41725,261.9036000000,PA,Jacundá,3.7415000000,IRU,AT,Aguardando análise
PA-1503804-F94F42199D5F403D907F0A400C75C4CB,133.5585000000,PA,Jacundá,1.9080000000,IRU,AT,Aguardando análise
PA-1503804-7C88C6B63AFE41608BFC0B6A0D5834A9,19.8054000000,PA,Jacundá,0.2829000000,IRU,AT,Aguardando análise
PA-1503804-A6D1DB5AAACA4415849982F40A74D64F,19.9470000000,PA,Jacundá,0.2850000000,IRU,AT,Aguardando análise
PA-1503804-D9F8C3C873CC4B67A3DE66DF2C726BCB,102.5399000000,PA,Jacundá,1.4649000000,IRU,AT,Aguardando análise
PA-1503804-70EB54F0C6DE49FEBF3CEA979A77C5E4,463.0284000000,PA,Jacundá,6.6147000000,IRU,AT,Aguardando análise
PA-1503804-DE7BE54D81524B27859062D30754C1CC,391.1058000000,PA,Jacundá,5.5872000000,IRU,AT,Aguardando análise
PA-1503804-6E996CE2C52F4098A5BD259D21B56EB9,263.4599000000,PA,Jacundá,3.7637000000,IRU,AT,Aguardando análise
PA-1503804-AFB511A4A9D34C21B15BACE646DBB84E,185.6529000000,PA,Jacundá,2.6522000000,IRU,AT,Aguardando análise
PA-1503804-6C7F335F454C42DB8DD192D4A14149FE,118.9833000000,PA,Jacundá,1.6998000000,IRU,AT,Aguardando análise
PA-1503804-B215507DA06A4C82806D5F97581A9EBA,151.0959000000,PA,Jacundá,2.1585000000,IRU,AT,Aguardando análise
PA-1503804-1175C2D168804FEEB26644BDC2309B53,44.3267000000,PA,Jacundá,0.6332000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-9B9F187F72E74A9996434AF303604021,2.4028000000,PA,Jacundá,0.0343000000,IRU,AT,Aguardando análise
PA-1503804-0D7EBEF60D1A4AD69A5BCC87DBBF305D,781.6625000000,PA,Jacundá,11.1666000000,IRU,AT,Aguardando análise
PA-1503804-7FCCCA6AE20E43B5B483481CAAA299D4,100.5563000000,PA,Jacundá,1.4365000000,IRU,AT,Aguardando análise
PA-1503804-F909DFC444924CA9AAC6785F65B877E5,50.2823000000,PA,Jacundá,0.7183000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-90165440C74A451F8504ABAC582AB956,159.4969000000,PA,Jacundá,2.2785000000,IRU,AT,Aguardando análise
PA-1503804-4F4FE599815E4FD08C5F453334A3FE5D,309.5437000000,PA,Jacundá,4.4221000000,IRU,AT,Aguardando análise
PA-1503804-17921258CC39473CBDBFFA2CB07006E0,62.0470000000,PA,Jacundá,0.8864000000,IRU,AT,Aguardando análise
PA-1503804-ECAEBD836C83444E9E3FC8437F84DC35,53.5957000000,PA,Jacundá,0.7657000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-27C786C504A14D28B587BB33B7A5DA90,78.0652000000,PA,Jacundá,1.1152000000,IRU,AT,Aguardando análise
PA-1503804-75779679F5EB44EEB3AA8F9E7590C8B7,49.6145000000,PA,Jacundá,0.7088000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-8861EC132DAF4D39990D5556AC6F6289,81.2504000000,PA,Jacundá,1.1607000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-1140CEE9EBB64404831C36AC0A502B3B,50.0071000000,PA,Jacundá,0.7144000000,IRU,PE,"Analisado com pendências, aguardando retificação e/ou apresentação de documentos"
PA-1503804-782183972AA9444293180383F1FA6A01,222.7976000000,PA,Jacundá,3.1828000000,IRU,AT,Aguardando análise
