id,area,Fisc_models,domino_tipo,cadastrante_Profissao
121173,63.3768,1.1523,Pessoa jurídica,Não Informado
121174,299.1918,5.4399,Pessoa física,Engenheiro florestal
122202,100.0231,1.8186,Pessoa física,Engenheiro Ambiental
122496,668.8117,12.1602,Pessoa física,Engenheiro agrônomo
122799,161.6511,2.9391,Pessoa física,Engenheiro agrícola
123558,98.3464,1.7881,Pessoa física,Engenheiro agrícola
406267,1257.3538,22.861,Pessoa física,Engenheiro Agronomo
124293,79.6931,1.449,Pessoa física,Engenheiro agrônomo
125931,99.0453,1.8008,Pessoa física,Engenheiro Ambiental
129662,3.5285,0.0642,Pessoa física,Geólogo
131100,4356.4054,79.2074,Pessoa física,Engenheiro florestal
131582,176.5694,3.2104,Pessoa física,Engenheiro agrônomo
135565,72.8666,1.3248,Pessoa física,Técnico agropecuário
135853,4337.1508,78.8573,Pessoa física,Engenheiro florestal
136498,215.1303,3.9115,Pessoa física,Técnico florestal
139116,55.7225,1.0131,Pessoa física,Geógrafo
139771,56.3909,1.0253,Pessoa física,Engenheiro Ambiental
140799,2140.2686,38.914,Pessoa física,Técnico em Estradas
141151,34.8438,0.6335,Pessoa física,Tecnólogo em Administração Rural
423166,1023.936,18.617,Pessoa física,Engenheira Agrônoma
143851,26.3676,0.4794,Pessoa jurídica,Engenheiro florestal
145529,40.7947,0.7417,Pessoa física,Técnico em agropecuária
145937,140.6001,2.5564,Pessoa física,Engenheiro florestal
408692,1456.1433,26.4753,Pessoa física,Engenheiro Agronomo
149865,46.5754,0.8468,Pessoa física,Engenheiro florestal
149742,65.1533,1.1846,Pessoa física,Engenheiro agrônomo
150887,782.9588,14.2356,Pessoa física,Engenheiro Sanitarista
152129,64.8679,1.1794,Pessoa física,Técnico em agropecuária
152857,200.4014,3.6437,Pessoa física,Técnico agropecuário
153009,1564.8369,28.4516,Pessoa física,Engenheiro florestal
156138,1340.3012,24.3691,Pessoa física,Engenheiro agrônomo
156557,22.7641,0.4139,Pessoa física,Engenheiro agrônomo
166304,787.0343,14.3097,Pessoa física,Engenheiro florestal
171876,67.7423,1.2317,Pessoa física,Engenheiro agrônomo
176047,7.1663,0.1303,Pessoa física,Engenheiro agrônomo
176462,17.1442,0.3117,Pessoa física,Engenheiro Ambiental
179973,129.9877,2.3634,Pessoa física,Engenheiro agrônomo
182492,22.6361,0.4116,Pessoa física,Engenheiro agrônomo
186456,1464.8388,26.6334,Pessoa física,Agrimensor
190387,1796.824,32.6695,Pessoa física,Engenheiro florestal
190996,338.0069,6.1456,Pessoa física,Engenheiro agrônomo
197942,46.4561,0.8447,Pessoa física,Técnico em agropecuária
198621,1092.173,19.8577,Pessoa física,Engenheiro agrônomo
198638,1493.8356,27.1606,Pessoa física,Engenheiro florestal
200025,1923.1556,34.9665,Pessoa física,Engenheiro florestal
201788,3395.6509,61.7391,Pessoa física,Técnico em geodésia e cartografia
208786,73.4732,1.3359,Pessoa física,Engenheiro florestal
219684,71.9056,1.3074,Pessoa física,Engenheiro agrônomo
222099,1050.3714,19.0977,Pessoa física,Engenheiro florestal
228710,487.1316,8.8569,Pessoa física,Técnicos agrícolas
232664,89.6141,1.6293,Pessoa física,Engenheiro florestal
241061,0.9832,0.0179,Pessoa jurídica,Engenheiro florestal
245456,2133.4822,38.7906,Pessoa física,Geógrafo
410984,306.6448,5.5754,Pessoa física,ENGENHEIRO AGRONOMO
247606,2362.2806,42.9506,Pessoa física,Engenheiro agrônomo
247711,2362.2806,42.9506,Pessoa jurídica,Geógrafo
249423,232.2759,4.2232,Pessoa física,Engenheiro Ambiental
252061,1.5494,0.0282,Pessoa física,Engenheiro florestal
255061,80.9361,1.4716,Pessoa física,Não Informado
256161,50.0698,0.9104,Pessoa física,Engenheiro Ambiental
257929,13.8357,0.2516,Pessoa jurídica,engenheiro cartografo
257969,197.8847,3.5979,Pessoa física,Eng. Agrônomo
259509,4.845,0.0881,Pessoa jurídica,ENGENHEIRO AGRONOMO
416254,3733.2821,3.771,Pessoa jurídica,Engenheiro Florestal
262711,2176.2951,39.569,Pessoa física,Engenheiro florestal
265009,4605.0161,83.7276,Pessoa física,Engenheiro florestal
265412,7948.7248,144.5223,Pessoa física,Engenheiro florestal
279352,1597.352,29.0428,Pessoa física,Engenheiro florestal
279602,1093.2756,19.8777,Pessoa física,Engenheiro florestal
279913,4335.0546,78.8192,Pessoa física,Engenheiro florestal
279965,8700.9539,158.1992,Pessoa física,Engenheiro florestal
280051,1107.4869,20.1361,Pessoa física,Engenheiro florestal
280071,4966.2205,70.946,Pessoa física,"Técnico em meio ambiente, segurança e sa√∫de"
280230,844.7227,15.3586,Pessoa jurídica,Engenheiro florestal
280347,1032.043,18.7644,Pessoa física,Engenheiro florestal
280502,4288.1456,77.9663,Pessoa física,Engenheiro florestal
420153,3124.53,56.8096,Pessoa física,ENGENHEIRO FLORESTAL
282076,1466.6648,26.6666,Pessoa jurídica,Engenheiro florestal
282358,107.7436,1.959,Pessoa física,Não Informado
283845,14.5093,0.2638,Pessoa física,TECN√ìLOGO EM GEST√ÉO AMBIENTAL
287043,267.5283,4.8642,Pessoa física,Servidor Pará
288122,1461.1469,26.5663,Pessoa física,PECUARISTA
291631,49.8542,0.9035,Pessoa física,BIOLOGO
295562,456.3181,8.2967,Pessoa física,Engenheiro Agrônomo
297281,136.5247,2.4823,Pessoa física,T√âCNICO EM AGROPECU√ÅRIA
299243,45.6042,0.8292,Pessoa física,Engenheiro Agronômo
301408,1300.2928,23.6417,Pessoa física,Pecuarista
301413,1379.5032,25.0819,Pessoa física,PECUARISTA
303097,111.8861,2.0343,Pessoa física,Engenheiro Ambiental
304808,69.7774,1.2687,Pessoa física,TEC. EM AGROPECUARIA
305984,77.6594,1.412,Pessoa física,TECNICO EM AGROPECUARIA
306023,169.1322,3.0751,Pessoa física,ENGENHEIRO FLORESTAL
308659,18763.9815,341.1633,Pessoa jurídica,Engenheira Florestal
310696,77.5393,1.4098,Pessoa física,Não Informado
310697,57.0949,1.0381,Pessoa física,Não Informado
310865,142.4748,2.5905,Pessoa física,ENGENHEIRO AGR√îNOMO
411284,32.6946,0.5944,Pessoa física,ENGENHEIRA AGR√îNOMA
314325,135.7019,2.4673,Pessoa física,AGRONOMO
314531,37.9608,0.6902,Pessoa física,Técnico em Agropecuária
414418,701.2586,12.7502,Pessoa física,ENGENHEIRO FLORESTAL
316143,91.1398,1.6571,Pessoa física,Técnico em Administração Rural
318036,1028.2504,18.6955,Pessoa jurídica,Engenheira Agrônoma
318644,501.0432,9.1099,Pessoa física,ENGENHEIRO AGRONOMO
427301,4803.9719,87.3449,Pessoa física,Engenheiro Florestal
319966,4251.6875,77.3034,Pessoa física,Engenheira Ambiental
321907,1498.8705,27.2522,Pessoa física,ENGENHEIRO AGRON√îMO
325708,83.3585,1.5156,Pessoa física,Administradora
333757,73.0274,1.3278,Pessoa física,Agricultor
412246,47.6191,0.8451,Pessoa física,T√âCNICO AGROPECU√ÅRIA
339018,26.7492,0.4863,Pessoa física,Agricultor
341025,581.1875,10.567,Pessoa física,ENGENHEIRA AGRONOMA
341736,86.1038,1.5655,Pessoa física,T√âCNICO EM AGROPECU√ÅRIA
341803,2129.7957,38.7236,Pessoa física,T√âCNICO EM MEIO AMBIENTE
343590,144.4348,2.6261,Pessoa física,GEOGRAFO
346313,496.0456,9.019,Pessoa física,T√âCNICO EM MINERA√á√ÉO E GEST√ÉO ANBIEMTAL
348598,86.0543,1.5646,Pessoa física,ENGENHEIRO FLORESTAL
413111,870.0243,15.8186,Pessoa física,Eng. Florestal
353456,74.634,1.357,Pessoa física,"Técnica em Geoprocessamento de Imagens,Sensoriamento Remoto  e Cartografia"
426481,3918.043,71.2371,Pessoa jurídica,ENGENHEIRO FLORESTAL
356117,75.0061,1.3637,Pessoa física,PRODUTOR RURAL
356797,117,2.1273,Pessoa física,professor
359928,6.243,0.1135,Pessoa física,TOPOGR√ÅFO
360209,470.9926,8.5635,Pessoa física,GE√ìLOGO
360717,25.5378,0.4643,Pessoa física,Engenheiro Florestal
408054,10467.1146,186.1923,Pessoa jurídica,ENGENHEIRO FLORESTAL
376931,247.1536,4.4937,Pessoa física,T√âCNICO AGRIMNESOR
377051,48.1615,0.8757,Pessoa física,GRICULTOR
427981,481.9724,8.7631,Pessoa física,Eng. Florestal
383100,25.1125,0.4566,Pessoa física,Eng¬∞ Agrônomo
383729,1091.0649,19.8375,Pessoa física,Engenheiro Ambiental
385819,1045.8532,19.0155,Pessoa física,estudante
392411,2392.5917,43.5017,Pessoa física,TEC. EM GEODESIA E CARTOGRAFIA
419553,12.0273,0.2187,Pessoa jurídica,Geólogo
402169,4095.2316,74.4588,Pessoa física,Engenheiro Agricol
420121,3901.1696,70.9304,Pessoa jurídica,Engenheiro Florestal
