"","id","area","municipality","state","owner_profession"
"1",121173,63.3768,"Paragominas","PA","Não Informado"
"2",121174,299.1918,"Paragominas","PA","Engenheiro florestal"
"3",121216,39.9555,"Paragominas","PA","Não Informado"
"4",121229,50.6857,"Paragominas","PA","Não Informado"
"5",121265,41.6433,"Paragominas","PA","Não Informado"
"6",121272,30.5983,"Paragominas","PA","Não Informado"
"7",121290,7.8358,"Paragominas","PA","Não Informado"
"8",121305,6.9388,"Paragominas","PA","Não Informado"
"9",121311,27.7263,"Paragominas","PA","Não Informado"
"10",121331,8.0272,"Paragominas","PA","Não Informado"
"11",121359,15.9569,"Paragominas","PA","Não Informado"
"12",121393,16.4473,"Paragominas","PA","Não Informado"
"13",121415,23.5548,"Paragominas","PA","Não Informado"
"14",121422,102.3831,"Paragominas","PA","Não Informado"
"15",121436,36.9551,"Paragominas","PA","Não Informado"
"16",121451,96.0053,"Paragominas","PA","Não Informado"
"17",121458,69.228,"Paragominas","PA","Não Informado"
"18",121487,43.41,"Paragominas","PA","Não Informado"
"19",121508,32.537,"Paragominas","PA","Não Informado"
"20",121558,42.5071,"Paragominas","PA","Não Informado"
"21",121576,52.7022,"Paragominas","PA","Não Informado"
"22",121602,53.7841,"Paragominas","PA","Não Informado"
"23",121667,37.4209,"Paragominas","PA","Não Informado"
"24",121685,56.2508,"Paragominas","PA","Não Informado"
"25",121692,50.7466,"Paragominas","PA","Não Informado"
"26",121718,55.2256,"Paragominas","PA","Não Informado"
"27",121731,62.7898,"Paragominas","PA","Não Informado"
"28",121762,76.6857,"Paragominas","PA","Não Informado"
"29",121769,44.8146,"Paragominas","PA","Não Informado"
"30",121789,44.1691,"Paragominas","PA","Não Informado"
